#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,1,4,1,54,999,99,99,3.61,13.33,9.94,282,9999,999,12.1,999,99,99
2013,1,4,2,24,999,99,99,3.94,13.33,9.84,285,9999,999,12.1,999,99,99
2013,1,4,2,54,999,99,99,3.64,11.76,9.46,272,9999,999,12.1,999,99,99
2013,1,4,3,24,999,99,99,3.89,12.5,9.74,274,9999,999,12.1,999,99,99
2013,1,4,3,54,999,99,99,3.71,11.76,9.7,271,9999,999,12,999,99,99
2013,1,4,4,24,999,99,99,3.84,12.5,9.97,279,9999,999,11.9,999,99,99
2013,1,4,4,54,999,99,99,4.13,12.5,10.11,275,9999,999,11.9,999,99,99
2013,1,4,5,24,999,99,99,3.67,12.5,9.49,278,9999,999,11.9,999,99,99
2013,1,4,5,54,999,99,99,3.61,12.5,9.57,278,9999,999,11.8,999,99,99
2013,1,4,6,24,999,99,99,3.49,12.5,9.44,279,9999,999,11.8,999,99,99
2013,1,4,6,54,999,99,99,3.55,11.76,9.99,272,9999,999,11.8,999,99,99
2013,1,4,7,24,999,99,99,3.66,13.33,10.2,275,9999,999,11.8,999,99,99
2013,1,4,7,54,999,99,99,3.5,13.33,10.18,277,9999,999,11.8,999,99,99
2013,1,4,8,24,999,99,99,3.31,11.76,10.13,277,9999,999,11.9,999,99,99
2013,1,4,8,54,999,99,99,3.2,11.76,10.27,277,9999,999,12,999,99,99
2013,1,4,9,24,999,99,99,3.08,13.33,10.1,271,9999,999,12.1,999,99,99
2013,1,4,9,54,999,99,99,3.65,12.5,10.58,281,9999,999,12.2,999,99,99
2013,1,4,10,24,999,99,99,3.16,12.5,10.17,284,9999,999,12.2,999,99,99
2013,1,4,10,54,999,99,99,3.02,13.33,9.96,268,9999,999,12.2,999,99,99
2013,1,4,11,24,999,99,99,3.19,12.5,9.82,277,9999,999,12.1,999,99,99
2013,1,4,11,54,999,99,99,3.04,12.5,9.91,274,9999,999,12.1,999,99,99
2013,1,4,12,24,999,99,99,2.89,11.76,9.72,281,9999,999,12.1,999,99,99
2013,1,4,12,54,999,99,99,3.11,12.5,10,278,9999,999,12.1,999,99,99
2013,1,4,13,24,999,99,99,2.63,11.76,9.34,282,9999,999,12.2,999,99,99
2013,1,4,13,54,999,99,99,2.62,12.5,9.16,281,9999,999,12.2,999,99,99
2013,1,4,14,24,999,99,99,3.05,11.76,9.52,274,9999,999,12.2,999,99,99
2013,1,4,14,54,999,99,99,3.05,10.53,9.65,278,9999,999,12.3,999,99,99
2013,1,4,15,24,999,99,99,2.62,11.76,9.1,281,9999,999,12.2,999,99,99
2013,1,4,15,54,999,99,99,2.68,11.76,9.21,275,9999,999,12.2,999,99,99
2013,1,4,16,24,999,99,99,2.71,11.76,9.11,279,9999,999,12.2,999,99,99
2013,1,4,16,54,999,99,99,2.6,10.53,8.88,284,9999,999,12.2,999,99,99
2013,1,4,17,24,999,99,99,3,11.76,9.28,278,9999,999,12.1,999,99,99
2013,1,4,17,54,999,99,99,2.84,12.5,9.37,277,9999,999,12.1,999,99,99
2013,1,4,18,24,999,99,99,2.73,12.5,9.13,275,9999,999,12.1,999,99,99
