#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,1,9,0,50,327,8,9.4,2.49,12.12,7.46,305,1020.7,10.9,12.2,999,99,99
2013,1,9,1,50,319,8.9,10.4,2.69,13.79,7.79,296,1020.7,10.4,12.2,999,99,99
2013,1,9,2,50,321,7.8,9.3,2.93,12.12,8.16,304,1021,10.3,12.1,999,99,99
2013,1,9,3,50,336,7.6,9.2,2.66,14.81,7.6,282,1021,10.4,12.1,999,99,99
2013,1,9,4,50,331,7,8.3,2.73,10.81,7.87,298,1020.7,10,12.1,999,99,99
2013,1,9,5,50,323,6.7,8.4,2.49,12.9,7.9,304,1021.1,10.1,12.1,999,99,99
2013,1,9,6,50,330,5.8,7.5,3.1,13.79,8.58,289,1020.9,10.1,12.1,999,99,99
2013,1,9,7,50,325,5.9,7.4,2.49,13.79,7.55,293,1020.9,10.1,12.1,999,99,99
2013,1,9,8,50,312,6.8,8.7,2.72,10.81,8.25,303,1020.8,10.1,12.1,999,99,99
2013,1,9,9,50,321,6.8,8.2,2.65,12.9,8.29,295,1020.2,10.1,12.1,999,99,99
2013,1,9,10,50,322,7.4,9.6,2.45,12.9,8.02,291,1020.1,10.6,12,999,99,99
2013,1,9,11,50,326,6.3,8,2.45,12.12,7.98,304,1020.2,10.5,12,999,99,99
2013,1,9,12,50,333,4.6,6,2.39,12.12,7.73,294,1019.8,10.5,12,999,99,99
2013,1,9,13,50,327,6.4,8.6,2.41,11.43,8.12,281,1019.8,10.9,12,999,99,99
2013,1,9,14,50,324,6.7,8.9,2.44,12.9,8.32,299,1019.7,11.1,12,999,99,99
2013,1,9,15,50,323,7.4,9.4,2.55,12.12,8.35,296,1019.9,11.2,12,999,99,99
2013,1,9,16,50,314,6.2,7.8,2.37,12.9,8.06,291,1019.7,11.3,12,999,99,99
2013,1,9,17,50,304,6,7.8,2.62,12.9,8.83,300,1020,11.7,12,999,99,99
2013,1,9,18,50,304,3,4.9,2.49,12.9,8.77,296,1019.6,11.7,12,999,99,99
2013,1,9,19,50,284,3.2,4.4,2.58,14.81,9.09,299,1018.7,11.7,12,999,99,99
2013,1,9,20,50,274,4.8,6.1,2.74,14.81,9.95,294,1018,11.8,12.1,999,99,99
2013,1,9,21,50,308 1,0.7,12.2,2.29,14.81,9,297,1017.5,10.7,12,999,99,99
2013,1,9,22,50,303 1,1.1,13.6,2.5,13.79,7.56,304,1017.6,10.7,12,999,99,99
2013,1,9,23,50,308 1,2.3,15.7,2.96,13.79,7.39,293,1017.8,9.4,12,999,99,99
2013,1,10,0,50,313 1,0.2,12.2,2.83,13.79,6.75,309,1017.6,10.4,12,999,99,99
