Site,Year,Month,Week,Measurement,Date,wavetimeonly
PC,2013,May,Sampling Period 1,2,5/29/13,40.5
AP,2013,June,Sampling Period 3,3,6/27/13,41.03
AC,2013,June,Sampling Period 3,5,6/25/13,41.15
AC,2013,June,Sampling Period 3,4,6/25/13,41.18
AP,2013,June,Sampling Period 3,1,6/27/13,41.38
AP,2013,June,Sampling Period 2,3,6/14/13,42.31
AC,2013,June,Sampling Period 3,1,6/25/13,42.31
AP,2013,June,Sampling Period 2,4,6/14/13,42.62
AP,2013,June,Sampling Period 2,5,6/14/13,42.67
AP,2013,June,Sampling Period 2,2,6/13/13,42.69
TC,2013,May,Sampling Period 1,3,5/26/13,43.75
AC,2013,June,Sampling Period 2,5,6/12/13,44.22
TC,2013,May,Sampling Period 1,2,5/26/13,46.25
AC,2013,June,Sampling Period 3,3,6/25/13,46.25
AC,2013,June,Sampling Period 2,4,6/12/13,47
AP,2013,June,Sampling Period 2,2,6/14/13,48.78
TC,2013,May,Sampling Period 1,4,5/26/13,48.84
AC,2013,June,Sampling Period 2,2,6/12/13,49.03
AP,2013,June,Sampling Period 2,1,6/14/13,49.31
TC,2013,May,Sampling Period 1,1,5/26/13,49.75
AC,2013,June,Sampling Period 2,3,6/12/13,50.13
AC,2013,June,Sampling Period 2,1,6/12/13,51.25
TC,2013,May,Sampling Period 1,5,5/26/13,53.37
