Date ,Day,Time,Sampling period,Predicted (ft),Pred(cm),High/Low,Difference (ft),absval difference (ft)
2013/03/07,Thu,8:38 PM,NA,4.8,146,H,2.6,2.6
2013/03/08,Fri,2:02 AM,NA,2.2,67,L,-3.7,3.7
2013/03/08,Fri,7:49 AM,NA,5.9,180,H,6.1,6.1
2013/03/08,Fri,2:42 PM,NA,-0.2,-6,L,-5.3,5.3
2013/03/08,Fri,9:20 PM,NA,5.1,155,H,3.3,3.3
2013/03/09,Sat,2:56 AM,NA,1.8,55,L,-4.1,4.1
2013/03/09,Sat,8:47 AM,NA,5.9,180,H,6.1,6.1
2013/03/09,Sat,3:27 PM,NA,-0.2,-6,L,-5.6,5.6
2013/03/09,Sat,9:58 PM,NA,5.4,165,H,4,4
2013/03/10,Sun,4:45 AM,NA,1.4,43,L,-4.5,4.5
2013/03/10,Sun,10:40 AM,NA,5.9,180,H,5.9,5.9
2013/03/10,Sun,5:08 PM,NA,0,0,L,-5.6,5.6
2013/03/10,Sun,11:32 PM,NA,5.6,171,H,4.6,4.6
2013/03/11,Mon,5:31 AM,NA,1,30,L,-4.7,4.7
2013/03/11,Mon,11:29 AM,NA,5.7,174,H,5.4,5.4
2013/03/11,Mon,5:46 PM,NA,0.3,9,L,-5.4,5.4
2013/03/12,Tue,12:05 AM,NA,5.7,174,H,5,5
2013/03/12,Tue,6:14 AM,NA,0.7,21,L,-4.7,4.7
2013/03/12,Tue,12:17 PM,NA,5.4,165,H,4.7,4.7
2013/03/12,Tue,6:24 PM,NA,0.7,21,L,-5,5
2013/03/13,Wed,12:37 AM,NA,5.7,174,H,5.1,5.1
2013/03/13,Wed,6:57 AM,NA,0.6,18,L,-4.5,4.5
2013/03/13,Wed,1:04 PM,NA,5.1,155,H,4,4
2013/03/13,Wed,7:01 PM,NA,1.1,34,L,-4.5,4.5
2013/03/14,Thu,1:08 AM,NA,5.6,171,H,5.1,5.1
2013/03/14,Thu,7:39 AM,NA,0.5,15,L,-4.2,4.2
2013/03/14,Thu,1:52 PM,NA,4.7,143,H,3.1,3.1
2013/03/14,Thu,7:38 PM,NA,1.6,49,L,-3.9,3.9
2013/03/15,Fri,1:40 AM,NA,5.5,168,H,4.9,4.9
2013/03/15,Fri,8:23 AM,NA,0.6,18,L,-3.7,3.7
2013/03/15,Fri,2:44 PM,NA,4.3,131,H,2.3,2.3
2013/03/15,Fri,8:18 PM,NA,2,61,L,-3.3,3.3
2013/03/16,Sat,2:14 AM,NA,5.3,162,H,4.6,4.6
2013/03/16,Sat,9:10 AM,NA,0.7,21,L,-3.3,3.3
2013/03/16,Sat,3:42 PM,NA,4,122,H,1.5,1.5
2013/03/16,Sat,9:03 PM,NA,2.5,76,L,-2.6,2.6
2013/03/17,Sun,2:53 AM,NA,5.1,155,H,4.3,4.3
2013/03/17,Sun,10:04 AM,NA,0.8,24,L,-2.9,2.9
2013/03/17,Sun,4:52 PM,NA,3.7,113,H,0.9,0.9
2013/03/17,Sun,9:58 PM,NA,2.8,85,L,-2.1,2.1
2013/03/18,Mon,3:40 AM,NA,4.9,149,H,4,4
2013/03/18,Mon,11:05 AM,NA,0.9,27,L,-2.8,2.8
2013/03/18,Mon,6:14 PM,NA,3.7,113,H,0.7,0.7
2013/03/18,Mon,11:09 PM,NA,3,91,L,-1.8,1.8
2013/03/19,Tue,4:36 AM,NA,4.8,146,H,3.8,3.8
2013/03/19,Tue,12:12 PM,NA,1,30,L,-2.8,2.8
2013/03/19,Tue,7:29 PM,NA,3.8,116,H,0.7,0.7
2013/03/20,Wed,12:26 AM,NA,3.1,94,L,-1.6,1.6
2013/03/20,Wed,5:40 AM,NA,4.7,143,H,3.8,3.8
2013/03/20,Wed,1:16 PM,NA,0.9,27,L,-3.1,3.1
2013/03/20,Wed,8:24 PM,NA,4,122,H,1.1,1.1
2013/03/21,Thu,1:34 AM,NA,2.9,88,L,-1.8,1.8
2013/03/21,Thu,6:47 AM,NA,4.7,143,H,3.9,3.9
2013/03/21,Thu,2:11 PM,NA,0.8,24,L,-3.4,3.4
2013/03/21,Thu,9:04 PM,NA,4.2,128,H,1.6,1.6
2013/03/22,Fri,2:29 AM,NA,2.6,79,L,-2.2,2.2
2013/03/22,Fri,7:50 AM,NA,4.8,146,H,4.1,4.1
2013/03/22,Fri,2:56 PM,NA,0.7,21,L,-3.8,3.8
2013/03/22,Fri,9:36 PM,NA,4.5,137,H,2.3,2.3
2013/03/23,Sat,3:15 AM,NA,2.2,67,L,-2.7,2.7
2013/03/23,Sat,8:45 AM,NA,4.9,149,H,4.3,4.3
2013/03/23,Sat,3:35 PM,NA,0.6,18,L,-4.1,4.1
2013/03/23,Sat,10:05 PM,NA,4.7,143,H,2.9,2.9
2013/03/24,Sun,3:55 AM,NA,1.8,55,L,-3.3,3.3
2013/03/24,Sun,9:36 AM,NA,5.1,155,H,4.5,4.5
2013/03/24,Sun,4:11 PM,NA,0.6,18,L,-4.4,4.4
2013/03/24,Sun,10:33 PM,NA,5,152,H,3.7,3.7
2013/03/25,Mon,4:32 AM,NA,1.3,40,L,-3.8,3.8
2013/03/25,Mon,10:24 AM,NA,5.1,155,H,4.5,4.5
2013/03/25,Mon,4:45 PM,NA,0.6,18,L,-4.7,4.7
2013/03/25,Mon,11:01 PM,NA,5.3,162,H,4.5,4.5
2013/03/26,Tue,5:10 AM,NA,0.8,24,L,-4.4,4.4
2013/03/26,Tue,11:11 AM,NA,5.2,158,H,4.4,4.4
2013/03/26,Tue,5:19 PM,NA,0.8,24,L,-4.7,4.7
2013/03/26,Tue,11:31 PM,NA,5.5,168,H,5.1,5.1
2013/03/27,Wed,5:49 AM,NA,0.4,12,L,-4.7,4.7
2013/03/27,Wed,11:58 AM,NA,5.1,155,H,4.1,4.1
2013/03/27,Wed,5:54 PM,NA,1,30,L,-4.7,4.7
2013/03/28,Thu,12:04 AM,NA,5.7,174,H,5.7,5.7
2013/03/28,Thu,6:30 AM,NA,0,0,L,-4.9,4.9
2013/03/28,Thu,12:48 PM,NA,4.9,149,H,3.6,3.6
2013/03/28,Thu,6:32 PM,NA,1.3,40,L,-4.6,4.6
2013/03/29,Fri,12:39 AM,NA,5.9,180,H,6.2,6.2
2013/03/29,Fri,7:15 AM,NA,-0.3,-9,L,-5,5
2013/03/29,Fri,1:40 PM,NA,4.7,143,H,3,3
2013/03/29,Fri,7:12 PM,NA,1.7,52,L,-4.2,4.2
2013/03/30,Sat,1:18 AM,NA,5.9,180,H,6.3,6.3
2013/03/30,Sat,8:04 AM,NA,-0.4,-12,L,-4.9,4.9
2013/03/30,Sat,2:39 PM,NA,4.5,137,H,2.4,2.4
2013/03/30,Sat,7:58 PM,NA,2.1,64,L,-3.8,3.8
2013/03/31,Sun,2:03 AM,NA,5.9,180,H,6.3,6.3
2013/03/31,Sun,8:59 AM,NA,-0.4,-12,L,-4.6,4.6
2013/03/31,Sun,3:45 PM,NA,4.2,128,H,1.8,1.8
2013/03/31,Sun,8:53 PM,NA,2.4,73,L,-3.3,3.3
2013/04/01,Mon,2:55 AM,NA,5.7,174,H,6,6
2013/04/01,Mon,10:00 AM,NA,-0.3,-9,L,-4.4,4.4
2013/04/01,Mon,4:58 PM,NA,4.1,125,H,1.4,1.4
2013/04/01,Mon,10:02 PM,NA,2.7,82,L,-2.8,2.8
2013/04/02,Tue,3:56 AM,NA,5.5,168,H,5.7,5.7
2013/04/02,Tue,11:08 AM,NA,-0.2,-6,L,-4.4,4.4
2013/04/02,Tue,6:14 PM,NA,4.2,128,H,1.4,1.4
2013/04/02,Tue,11:25 PM,NA,2.8,85,L,-2.4,2.4
2013/04/03,Wed,5:07 AM,NA,5.2,158,H,5.2,5.2
2013/04/03,Wed,12:18 PM,NA,0,0,L,-4.5,4.5
2013/04/03,Wed,7:22 PM,NA,4.5,137,H,2,2
2013/04/04,Thu,12:49 AM,NA,2.5,76,L,-2.6,2.6
2013/04/04,Thu,6:23 AM,NA,5.1,155,H,5,5
2013/04/04,Thu,1:24 PM,NA,0.1,3,L,-4.7,4.7
2013/04/04,Thu,8:17 PM,NA,4.8,146,H,2.7,2.7
2013/04/05,Fri,2:01 AM,NA,2.1,64,L,-2.9,2.9
2013/04/05,Fri,7:38 AM,NA,5,152,H,4.8,4.8
2013/04/05,Fri,2:22 PM,NA,0.2,6,L,-4.9,4.9
2013/04/05,Fri,9:03 PM,NA,5.1,155,H,3.5,3.5
2013/04/06,Sat,3:01 AM,NA,1.6,49,L,-3.5,3.5
2013/04/06,Sat,8:45 AM,NA,5.1,155,H,4.8,4.8
